Nombre,SKU,Tipo,Proveedor,Precio,Precio de venta,Moneda,Unidad,Tasa IVA,Tasa IEPS,Cuenta inventario,Cuenta costo,Stock minimo,Tiempo entrega dias,Cantidad minima compra,Activo,Requiere caducidad,Notas
CMC,MP-CMC,materia prima,ALKEM,180,,MXN,Kilogramos,16%,0,,,,,,si,0,ref M 67491
MONO PROPILENGLICOL,MP-MONO-PROPILENGLICOL,materia prima,ALKEM,50,,MXN,Litros,16%,0,,,,,,si,0,ref M 65681
GLICERINA,MP-GLICERINA,materia prima,ALKEM,60,,MXN,Litros,16%,0,,,,,,si,0,ref M 68521
ACIDO CITRICO,MP-ACIDO-CITRICO,materia prima,KC FRAGANCES,160,,MXN,Kilogramos,16%,0,,,,,,si,0,ref B 63295
SORBATO DE POTASIO,MP-SORBATO-DE-POTASIO,materia prima,ALKEM,90,,MXN,Kilogramos,16%,0,,,,,,si,1,Conservador - ref M 65812
AGUA DESTILADA,MP-AGUA-DESTILADA,materia prima,LABORATORIOS MTY,,,MXN,Litros,0%,0,,,,,,si,0,ref 147436
SABORIZANTE BUBBLEGUM,MP-SABORIZANTE-BUBBLEGUM,materia prima,ROBERTET,780,,MXN,Litros,16%,0,,,,,,si,1,Saborizante - ref RS39720
DIMETICONA,MP-DIMETICONA,materia prima,QSD,410,,MXN,Litros,16%,0,,,,,,si,0,ref DO - 10029494
DIMETICONOL,MP-DIMETICONOL,materia prima,QSD,900,,MXN,Litros,16%,0,,,,,,si,0,ref DO - 10029495
CICLOPENTASILOXANO,MP-CICLOPENTASILOXANO,materia prima,QSD,560,,MXN,Litros,16%,0,,,,,,si,0,ref DO - 10029496
FENOXIETANOL,MP-FENOXIETANOL,materia prima,LABORATORIOS LA PATRIA,6600,,MXN,Litros,16%,0,,,,,,si,1,Conservador - ref 2113
L-ARGININA,MP-L-ARGININA,materia prima,CIMA NATURAL,310,,MXN,Kilogramos,16%,0,,,,,,si,0,ref A 30889
SORBITOL,MP-SORBITOL,materia prima,ALKEM,40,,MXN,Litros,16%,0,,,,,,si,0,ref M 65812
LIDOCAINA,MP-LIDOCAINA,materia prima,SINBIOTIK,550,,MXN,Kilogramos,16%,0,,,,,,si,1,Anestesico topico - ref 90032284
ALCOHOL,MP-ALCOHOL,materia prima,KC FRAGANCES,50,,MXN,Litros,16%,0,,,,,,si,0,ref B 46356
SABORIZANTE CHERRY,MP-SABORIZANTE-CHERRY,materia prima,,610,,MXN,Litros,16%,0,,,,,,si,1,Saborizante
LAURIL ETER SULFATO DE SODIO,MP-LAURIL-ETER-SULFATO-DE-SODIO,materia prima,KC FRAGANCES,40,,MXN,Litros,16%,0,,,,,,si,0,ref B 46965
LAURIL SULFATO DE AMONIO,MP-LAURIL-SULFATO-DE-AMONIO,materia prima,KC FRAGANCES,90,,MXN,Kilogramos,16%,0,,,,,,si,0,ref B 46965
EDTA,MP-EDTA,materia prima,KC FRAGANCES,240,,MXN,Kilogramos,16%,0,,,,,,si,0,ref B 46965
BETAINA,MP-BETAINA,materia prima,KC FRAGANCES,60,,MXN,Litros,16%,0,,,,,,si,0,ref B 46966
CLORURO DE BENZALCONIO,MP-CLORURO-DE-BENZALCONIO,materia prima,KC FRAGANCES,250,,MXN,Litros,16%,0,,,,,,si,1,Conservador - ref B 46356
TWEEN 20,MP-TWEEN-20,materia prima,KC FRAGANCES,140,,MXN,Litros,16%,0,,,,,,si,0,ref B 46217
BIOCARE ITH,MP-BIOCARE-ITH,materia prima,KC FRAGANCES,350,,MXN,Litros,16%,0,,,,,,si,1,Conservador - ref B 46356
TRIETANOLAMINA,MP-TRIETANOLAMINA,materia prima,KC FRAGANCES,110,,MXN,Litros,16%,0,,,,,,si,0,ref B 45260
SABORIZANTE CHOCOLATE,MP-SABORIZANTE-CHOCOLATE,materia prima,ROBERTET,290,,MXN,Litros,16%,0,,,,,,si,1,Saborizante - ref 0
MENTOL,MP-MENTOL,materia prima,,1140,,MXN,Kilogramos,16%,0,,,,,,si,0,ref 0
COLORANTE,MP-COLORANTE,materia prima,MATERIAS PRIMAS DEL CENTRO,140,,MXN,Kilogramos,16%,0,,,,,,si,0,
AROMA,MP-AROMA,materia prima,PERFUMES COLORES Y SABORES,320,,MXN,Litros,16%,0,,,,,,si,1,Aroma
COLORANTE AUROQUIM,MP-COLORANTE-AUROQUIM,materia prima,AUROQUIM,,,MXN,Kilogramos,16%,0,,,,,,si,0,
COLORANTE DEIMAN,MP-COLORANTE-DEIMAN,materia prima,DEIMAN,880,,MXN,Kilogramos,16%,0,,,,,,si,0,ref TDAFA5365
ENVASE 450,INS-ENVASE-450,insumo,ESCOWILL,6410,,MXN,Piezas,16%,0,,,,,,si,0,ref EF 80770
TAPA DISCTOP NEGRA 24/410,INS-TAPA-DISCTOP-NEGRA-24-410,insumo,MCKERNAN,2130,,MXN,Piezas,16%,0,,,,,,si,0,ref INMX 00024258
LINER INDUCTIVO,INS-LINER-INDUCTIVO,insumo,COLORES PRIMARIOS,120,,MXN,Piezas,16%,0,,,,,,si,0,ref FAA79447
FEROMONA HIM/HER,MP-FEROMONA-HIM-HER,materia prima,ROBERTET,830,,MXN,Kilogramos,16%,0,,,,,,si,1,Feromona - ref RF49242
